name,parent,path,openingDate,id,level,closedDate
Lolupe Dispensary (Turkana West),"{'name': 'Nakalale Ward', 'id': 'qTEN4LVoVVL'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/qTEN4LVoVVL/PBJfEPDumYw,1970-01-01T00:00:00.000,PBJfEPDumYw,5,
Lolwe Dispensary,"{'name': 'Central Seme Ward', 'id': 'o6cVZ72goEk'}",/HfVjCurKxh2/tAbBVBbueqD/LRNmnMw1fBs/o6cVZ72goEk/ttSQ3WmIuow,1970-01-01T00:00:00.000,ttSQ3WmIuow,5,
Lombi Medical Clinic,"{'name': 'Kokwanyo/Kakelo Ward', 'id': 'dPxooReTfTv'}",/HfVjCurKxh2/nK0A12Q7MvS/BzFBYZhF5fx/dPxooReTfTv/sydHOsaCXEQ,1970-01-01T00:00:00.000,sydHOsaCXEQ,5,
Lomekwi Dispensary,"{'name': 'Lakezone Ward', 'id': 'yVMtm0p4OeM'}",/HfVjCurKxh2/kphDeKClFch/mWpq607yRXh/yVMtm0p4OeM/oQyshRFoeqU,1970-01-01T00:00:00.000,oQyshRFoeqU,5,
Lomeleku Dispensary,"{'name': 'Kalapata Ward', 'id': 'H6EZtZr2dWo'}",/HfVjCurKxh2/kphDeKClFch/iTw0sFjlqZ2/H6EZtZr2dWo/FsReseYwXJG,1970-01-01T00:00:00.000,FsReseYwXJG,5,
Lomelo Dispensary,"{'name': 'Kapedo/Napeitom Ward', 'id': 'prqcH9XZcQe'}",/HfVjCurKxh2/kphDeKClFch/dr8gOvVAdiE/prqcH9XZcQe/U4etGal6GVJ,1970-01-01T00:00:00.000,U4etGal6GVJ,5,
Lomidat dispensary,"{'name': 'Lokichoggio Ward', 'id': 'U3CWX2tDcnG'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/U3CWX2tDcnG/fbAp8gkT7Nd,1970-01-01T00:00:00.000,fbAp8gkT7Nd,5,
Lomi Dispensary,"{'name': 'Kaeris Ward', 'id': 'PfM59R0hE2L'}",/HfVjCurKxh2/kphDeKClFch/mWpq607yRXh/PfM59R0hE2L/PZGw0SO7WBL,1970-01-01T00:00:00.000,PZGw0SO7WBL,5,
Lomil Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/Mjz1eplkKQs,1899-12-26T23:27:16.000,Mjz1eplkKQs,5,
Lomil Dispensary,"{'name': 'Turkwel Ward', 'id': 'vpERRHtFCWg'}",/HfVjCurKxh2/kphDeKClFch/OZiGQn2R8kK/vpERRHtFCWg/HM8nsTQaO4V,1970-01-01T00:00:00.000,HM8nsTQaO4V,5,
Lomolo dispensary,"{'name': 'Soin Ward', 'id': 'RLv6Wg2Eo8m'}",/HfVjCurKxh2/ob6SxuRcqU4/OK0hW8DFHq3/RLv6Wg2Eo8m/l3v8Sfgcuwa,1970-01-01T00:00:00.000,l3v8Sfgcuwa,5,
Lomuke Dispensary,"{'name': 'Tangulbei/Korossi Ward', 'id': 'i4HY1pMsQ4q'}",/HfVjCurKxh2/vvOK1BxTbet/Mk4bMOSMRTB/i4HY1pMsQ4q/e6GmxmkqMGC,1970-01-01T00:00:00.000,e6GmxmkqMGC,5,
Lomunyana Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/dTqOpTx8dUy,2016-08-01T00:00:00.000,dTqOpTx8dUy,5,
Lomunyenakwan Dispensary,"{'name': 'Katilia Ward', 'id': 'NhFq5rXnO3r'}",/HfVjCurKxh2/kphDeKClFch/dr8gOvVAdiE/NhFq5rXnO3r/ktNI208noNn,1970-01-01T00:00:00.000,ktNI208noNn,5,
Lomunyenakwan (Duplicate),"{'name': 'Katilia Ward', 'id': 'NhFq5rXnO3r'}",/HfVjCurKxh2/kphDeKClFch/dr8gOvVAdiE/NhFq5rXnO3r/JM2SOm2YJ19,1970-01-01T00:00:00.000,JM2SOm2YJ19,5,
Lomunyenekirionok dispensary,"{'name': 'Kalobeyei Ward', 'id': 'WwMThzLSS3I'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/WwMThzLSS3I/LR7NnkMGvxy,1970-01-01T00:00:00.000,LR7NnkMGvxy,5,
Lomunyenpus Dispensary,"{'name': 'Kakuma Ward', 'id': 'bg4tS3m8rZA'}",/HfVjCurKxh2/kphDeKClFch/HK5SUCMQmsw/bg4tS3m8rZA/kjq7CqeSSdU,1970-01-01T00:00:00.000,kjq7CqeSSdU,5,
Lomut Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/fayofMMpIVy,2017-12-11T00:00:00.000,fayofMMpIVy,5,
Lomut Dispensary,"{'name': 'Lomut Ward', 'id': 'V9GqRwFec0l'}",/HfVjCurKxh2/XWALbfAPa6n/SCbMzaOeTuR/V9GqRwFec0l/SBKrEDk0r9L,1970-01-01T00:00:00.000,SBKrEDk0r9L,5,
Lomut Ward,"{'name': 'Z Facility Issues', 'id': 'PttV9DcrqDB'}",/HfVjCurKxh2/PttV9DcrqDB/dUbcnAppwCz,1970-01-01T00:00:00.000,dUbcnAppwCz,3,
Lomut Ward,"{'name': 'Pokot Central Sub County', 'id': 'SCbMzaOeTuR'}",/HfVjCurKxh2/XWALbfAPa6n/SCbMzaOeTuR/V9GqRwFec0l,1970-01-01T00:00:00.000,V9GqRwFec0l,4,
Londiani District Hospital,"{'name': 'Kedowa/Kimugul Ward', 'id': 'tqCrm5nojsI'}",/HfVjCurKxh2/ihZsJ8alvtb/gU0Cz7Qlfss/tqCrm5nojsI/feqZZjDHYmo,1970-01-01T00:00:00.000,feqZZjDHYmo,5,
Londiani Forest Dispensary,"{'name': 'Londiani Ward', 'id': 'hnO1LFuQFvR'}",/HfVjCurKxh2/ihZsJ8alvtb/gU0Cz7Qlfss/hnO1LFuQFvR/SEQPbV8ndTJ,1970-01-01T00:00:00.000,SEQPbV8ndTJ,5,
Londiani Ward,"{'name': 'Kipkelion East Sub County', 'id': 'gU0Cz7Qlfss'}",/HfVjCurKxh2/ihZsJ8alvtb/gU0Cz7Qlfss/hnO1LFuQFvR,1970-01-01T00:00:00.000,hnO1LFuQFvR,4,
London Clinic & Dialysis Centre(upperhill),"{'name': 'Woodley/Kenyatta Golf Course Ward', 'id': 'Smgomyf1mXV'}",/HfVjCurKxh2/jkG3zaihdSs/LO5he3DtiFG/Smgomyf1mXV/nEU1AyG2cnw,1970-01-01T00:00:00.000,nEU1AyG2cnw,5,
London Community Health Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/Z7nrYCZCr52,2011-01-01T00:00:00.000,Z7nrYCZCr52,5,
London Medical Centre,"{'name': 'London Ward', 'id': 'LdShr7Egg6N'}",/HfVjCurKxh2/ob6SxuRcqU4/KTayLusaU5I/LdShr7Egg6N/Q0X0CJQ7hqn,1970-01-01T00:00:00.000,Q0X0CJQ7hqn,5,
London Ward,"{'name': 'Nakuru West Sub County', 'id': 'KTayLusaU5I'}",/HfVjCurKxh2/ob6SxuRcqU4/KTayLusaU5I/LdShr7Egg6N,1970-01-01T00:00:00.000,LdShr7Egg6N,4,
Longech Dispensary,"{'name': ""Kang'atotha Ward"", 'id': 'qQtpJ2wdCay'}",/HfVjCurKxh2/kphDeKClFch/zd8rhYqGowE/qQtpJ2wdCay/IQDj4EXtjkt,1970-01-01T00:00:00.000,IQDj4EXtjkt,5,
Longewan Community Unit,"{'name': 'Z Units', 'id': 'xRxI9FuORI2'}",/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/PBqIPko5Opp,2015-01-16T00:00:00.000,PBqIPko5Opp,5,
Longewan Dispensary,"{'name': 'Suguta Marmar Ward', 'id': 'i5te7PTlUjg'}",/HfVjCurKxh2/o36zCRjSd4G/EmQRGVtvWy3/i5te7PTlUjg/nHx2YyYSuQi,1970-01-01T00:00:00.000,nHx2YyYSuQi,5,
Longewan Dispensary(Baringo),"{'name': 'Iichamus Ward', 'id': 'zI7CuvCQcos'}",/HfVjCurKxh2/vvOK1BxTbet/dSLnPmNlm8Q/zI7CuvCQcos/EhXoQVZxkNW,1970-01-01T00:00:00.000,EhXoQVZxkNW,5,
Longisa County Referral Hospital,"{'name': 'Longisa Ward', 'id': 'drrGwAxlRtW'}",/HfVjCurKxh2/HMNARUV2CW4/OZNRpww2TUK/drrGwAxlRtW/SuxAmnVfsiA,1970-01-01T00:00:00.000,SuxAmnVfsiA,5,
