name,numerator,denominator,id
acs_ReferredM,#{d4FZJb4Acua.vs0n4UhW3HS}+#{d4FZJb4Acua.vuTu8NezkQq}+#{d4FZJb4Acua.sK1TBEe403V}+#{d4FZJb4Acua.k0La34ZpgXE}+#{d4FZJb4Acua.vyzfjIP1Qre},C{k8CzaSY0aND},e9v2TkSaRcv
acs_screenedPresbyopiaF,#{KCzZWdmqO1W.PcwswNmbtP5}+#{KCzZWdmqO1W.eRBYs8IOlZm}+#{KCzZWdmqO1W.pAMmmynfsyN}+#{KCzZWdmqO1W.uDY2mw85vfm}+#{KCzZWdmqO1W.jCnxN0e6ELr},C{k8CzaSY0aND},bpSdMnrC9Dq
acs_screenedPresbyopiaM,#{KCzZWdmqO1W.vs0n4UhW3HS}+#{KCzZWdmqO1W.vuTu8NezkQq}+#{KCzZWdmqO1W.sK1TBEe403V}+#{KCzZWdmqO1W.k0La34ZpgXE}+#{KCzZWdmqO1W.vyzfjIP1Qre},C{k8CzaSY0aND},ZPzROcmrJPd
acs_withPresbyopiaF,#{Vux6ydOxo07.PcwswNmbtP5}+#{Vux6ydOxo07.eRBYs8IOlZm}+#{Vux6ydOxo07.pAMmmynfsyN}+#{Vux6ydOxo07.uDY2mw85vfm}+#{Vux6ydOxo07.jCnxN0e6ELr},C{k8CzaSY0aND},ifaBRsNd8Zz
acs_withPresbyopiaM,#{Vux6ydOxo07.vs0n4UhW3HS}+#{Vux6ydOxo07.vuTu8NezkQq}+#{Vux6ydOxo07.sK1TBEe403V}+#{Vux6ydOxo07.k0La34ZpgXE}+#{Vux6ydOxo07.vyzfjIP1Qre},C{k8CzaSY0aND},ZoT3iIVXM1Y
AHD CALHIV TX_Curr STA,#{JOldQxWZWso.dcv8Lowu94w}+#{JOldQxWZWso.D2aMSzo7SEw}+#{HzXPYZqLgqj.dcv8Lowu94w}+#{HzXPYZqLgqj.D2aMSzo7SEw}+#{wJ0vH5TRFHw.dcv8Lowu94w}+#{wJ0vH5TRFHw.D2aMSzo7SEw}+#{VIz7xRli13H.dcv8Lowu94w}+#{VIz7xRli13H.D2aMSzo7SEw}+#{KEAYcGVL6Bk.dcv8Lowu94w}+#{KEAYcGVL6Bk.D2aMSzo7SEw}+#{EgNQnR23En1.dcv8Lowu94w}+#{EgNQnR23En1.D2aMSzo7SEw}+#{KsDSjjJo6GD.dcv8Lowu94w}+#{KsDSjjJo6GD.D2aMSzo7SEw}+#{qDjo1L1VfmP.dcv8Lowu94w}+#{qDjo1L1VfmP.D2aMSzo7SEw}+#{JOldQxWZWso.AwerOu6rx5q}+#{JOldQxWZWso.g2zP3yNwOOa}+#{HzXPYZqLgqj.AwerOu6rx5q}+#{HzXPYZqLgqj.g2zP3yNwOOa}+#{wJ0vH5TRFHw.AwerOu6rx5q}+#{wJ0vH5TRFHw.g2zP3yNwOOa}+#{VIz7xRli13H.AwerOu6rx5q}+#{VIz7xRli13H.g2zP3yNwOOa}+#{KEAYcGVL6Bk.AwerOu6rx5q}+#{KEAYcGVL6Bk.g2zP3yNwOOa}+#{EgNQnR23En1.AwerOu6rx5q}+#{EgNQnR23En1.g2zP3yNwOOa}+#{KsDSjjJo6GD.AwerOu6rx5q}+#{KsDSjjJo6GD.g2zP3yNwOOa}+#{qDjo1L1VfmP.AwerOu6rx5q}+#{qDjo1L1VfmP.g2zP3yNwOOa},C{k8CzaSY0aND},bddJ09uc0gX
"AHD CALHIV TX_Curr STA 1-4,F",#{JOldQxWZWso.dcv8Lowu94w}+#{JOldQxWZWso.D2aMSzo7SEw}+#{HzXPYZqLgqj.dcv8Lowu94w}+#{HzXPYZqLgqj.D2aMSzo7SEw}+#{wJ0vH5TRFHw.dcv8Lowu94w}+#{wJ0vH5TRFHw.D2aMSzo7SEw}+#{VIz7xRli13H.dcv8Lowu94w}+#{VIz7xRli13H.D2aMSzo7SEw}+#{KEAYcGVL6Bk.dcv8Lowu94w}+#{KEAYcGVL6Bk.D2aMSzo7SEw}+#{EgNQnR23En1.dcv8Lowu94w}+#{EgNQnR23En1.D2aMSzo7SEw}+#{KsDSjjJo6GD.dcv8Lowu94w}+#{KsDSjjJo6GD.D2aMSzo7SEw}+#{qDjo1L1VfmP.dcv8Lowu94w}+#{qDjo1L1VfmP.D2aMSzo7SEw},C{k8CzaSY0aND},NAl8WB5mIf0
"AHD CALHIV TX_Curr STA 1-4,M",#{JOldQxWZWso.AwerOu6rx5q}+#{JOldQxWZWso.g2zP3yNwOOa}+#{HzXPYZqLgqj.AwerOu6rx5q}+#{HzXPYZqLgqj.g2zP3yNwOOa}+#{wJ0vH5TRFHw.AwerOu6rx5q}+#{wJ0vH5TRFHw.g2zP3yNwOOa}+#{VIz7xRli13H.AwerOu6rx5q}+#{VIz7xRli13H.g2zP3yNwOOa}+#{KEAYcGVL6Bk.AwerOu6rx5q}+#{KEAYcGVL6Bk.g2zP3yNwOOa}+#{EgNQnR23En1.AwerOu6rx5q}+#{EgNQnR23En1.g2zP3yNwOOa}+#{KsDSjjJo6GD.AwerOu6rx5q}+#{KsDSjjJo6GD.g2zP3yNwOOa}+#{qDjo1L1VfmP.AwerOu6rx5q}+#{qDjo1L1VfmP.g2zP3yNwOOa},C{k8CzaSY0aND},q6L6ZENnsJy
"AHD CALHIV TX_Curr STA <1,F",#{K7oxvfT0Wo3.dcv8Lowu94w}+#{HzXPYZqLgqj.dcv8Lowu94w}+#{wJ0vH5TRFHw.dcv8Lowu94w}+#{EgNQnR23En1.dcv8Lowu94w}+#{KsDSjjJo6GD.dcv8Lowu94w}+#{VIz7xRli13H.dcv8Lowu94w}+#{KEAYcGVL6Bk.dcv8Lowu94w}+#{qDjo1L1VfmP.dcv8Lowu94w},C{k8CzaSY0aND},FAqU4vxS5e4
"AHD CALHIV TX_Curr STA <1,M",#{K7oxvfT0Wo3.AwerOu6rx5q}+#{HzXPYZqLgqj.AwerOu6rx5q}+#{wJ0vH5TRFHw.AwerOu6rx5q}+#{EgNQnR23En1.AwerOu6rx5q}+#{KsDSjjJo6GD.AwerOu6rx5q}+#{VIz7xRli13H.AwerOu6rx5q}+#{KEAYcGVL6Bk.AwerOu6rx5q}+#{qDjo1L1VfmP.AwerOu6rx5q},C{k8CzaSY0aND},OIbDpxAHY6e
