name,aggregationType,valueType,id,code
acs_GlassPower>340-50M,SUM,INTEGER_ZERO_OR_POSITIVE,j77gbywUVrV,
acs_GlassPower+350-60F,SUM,INTEGER_ZERO_OR_POSITIVE,XHpHhyB0vRr,
acs_GlassPower>350-60F,SUM,INTEGER_ZERO_OR_POSITIVE,zneWbW9PBuY,
acs_GlassPower+350-60M,SUM,INTEGER_ZERO_OR_POSITIVE,jqfxTbGMeM4,
acs_GlassPower>350-60M,SUM,INTEGER_ZERO_OR_POSITIVE,Zlmt2oVL0T9,
acs_GlassPower+3>60F,SUM,INTEGER_ZERO_OR_POSITIVE,SCIwJzuCcGh,
acs_GlassPower>3>60F,SUM,INTEGER_ZERO_OR_POSITIVE,JWtgbr0v612,
acs_GlassPower+3>60M,SUM,INTEGER_ZERO_OR_POSITIVE,QqbUo3AIPXb,
acs_GlassPower>3>60M,SUM,INTEGER_ZERO_OR_POSITIVE,O2zs9p9DSt1,
acs_location,SUM,NUMBER,UxZfmKW87V0,
acs_other,SUM,LONG_TEXT,CIp3xnDAD1u,
acs_providerCategory,SUM,NUMBER,Wc6VD2U1CDA,
acs_Referred,SUM,INTEGER_ZERO_OR_POSITIVE,d4FZJb4Acua,
acs_Referred30-40M,SUM,INTEGER_ZERO_OR_POSITIVE,sKHoIbZdU2X,
acs_Referred<30F,SUM,INTEGER_ZERO_OR_POSITIVE,XfiJlprYddw,
acs_Referred<30M,SUM,INTEGER_ZERO_OR_POSITIVE,ASPd5feWfHg,
acs_Referred40-50F,SUM,INTEGER_ZERO_OR_POSITIVE,jFcCfHtbzSi,
acs_Referred40-50M,SUM,INTEGER_ZERO_OR_POSITIVE,jWxYrUECRLR,
acs_Referred50-60F,SUM,INTEGER_ZERO_OR_POSITIVE,lax3z7778VI,
acs_Referred50-60M,SUM,INTEGER_ZERO_OR_POSITIVE,ycKXH9ab7UP,
acs_Referred>60F,SUM,INTEGER_ZERO_OR_POSITIVE,tBRB7h51ZQS,
acs_Referred>60M,SUM,INTEGER_ZERO_OR_POSITIVE,brKHUX16jSI,
acs_ScreenedPresbyopia,SUM,INTEGER_ZERO_OR_POSITIVE,KCzZWdmqO1W,
acs_ScreenedPresbyopia30-40M,SUM,INTEGER_ZERO_OR_POSITIVE,T4Ai4chZRvg,
acs_ScreenedPresbyopia<30F,SUM,INTEGER_ZERO_OR_POSITIVE,hKkEXjQIV2F,
acs_ScreenedPresbyopia<30M,SUM,INTEGER_ZERO_OR_POSITIVE,dWYR576R0e7,
acs_ScreenedPresbyopia40-50F,SUM,INTEGER_ZERO_OR_POSITIVE,dyA7dmtKxil,
acs_ScreenedPresbyopia40-50M,SUM,INTEGER_ZERO_OR_POSITIVE,AdM7PKUCtOU,
acs_ScreenedPresbyopia50-60F,SUM,INTEGER_ZERO_OR_POSITIVE,UWM7TjyaCwE,
acs_ScreenedPresbyopia50-60M,SUM,INTEGER_ZERO_OR_POSITIVE,PfnBOVlZ5RY,
acs_ScreenedPresbyopia>60F,SUM,INTEGER_ZERO_OR_POSITIVE,CBQMtRwlS2u,
acs_ScreenedPresbyopia>60M,SUM,INTEGER_ZERO_OR_POSITIVE,YxEONCQW2v5,
acs_WithPresbyopia,SUM,INTEGER_ZERO_OR_POSITIVE,Vux6ydOxo07,
acs_WithPresbyopia30-40M,SUM,INTEGER_ZERO_OR_POSITIVE,f2zOMIV3ONy,
acs_WithPresbyopia<30F,SUM,INTEGER_ZERO_OR_POSITIVE,gAZnNnClIdy,
acs_WithPresbyopia<30M,SUM,INTEGER_ZERO_OR_POSITIVE,bjJn6CdZXWj,
acs_WithPresbyopia40-50F,SUM,INTEGER_ZERO_OR_POSITIVE,eqjT6OcS99U,
acs_WithPresbyopia40-50M,SUM,INTEGER_ZERO_OR_POSITIVE,vKqAgwKcdG1,
acs_WithPresbyopia50-60F,SUM,INTEGER_ZERO_OR_POSITIVE,MY8ovbwX2OT,
acs_WithPresbyopia50-60M,SUM,INTEGER_ZERO_OR_POSITIVE,H5EbD1Y5lbJ,
acs_WithPresbyopia>60F,SUM,INTEGER_ZERO_OR_POSITIVE,LI3WmTQaInb,
acs_WithPresbyopia>60M,SUM,INTEGER_ZERO_OR_POSITIVE,D21IVD1HVTz,
Adolescent checklist,SUM,INTEGER_ZERO_OR_POSITIVE,OQc2QOcYrBk,
Adolescent transition completed,SUM,INTEGER_ZERO_OR_POSITIVE,NfRJHjaO33A,
Adolescent transition started,SUM,INTEGER_ZERO_OR_POSITIVE,jpCzs2Zyfdu,
Adult ARVTBMEDS BB,SUM,INTEGER_ZERO_OR_POSITIVE,AQTkPq3BqIq,
Adult ARVTBMEDS DOFS,SUM,INTEGER_ZERO_OR_POSITIVE,ezQiXHlHu9T,
Adult ARVTBMEDS EMPSC,SUM,INTEGER_ZERO_OR_POSITIVE,VFQaQtpyW8g,
Adult ARVTBMEDS LW,SUM,INTEGER_ZERO_OR_POSITIVE,VxRBbDTBCir,
Adult ARVTBMEDS NA,SUM,INTEGER_ZERO_OR_POSITIVE,IHHUeMnMibv,
Adult ARVTBMEDS PA,SUM,INTEGER_ZERO_OR_POSITIVE,Uiq2uFGWGr1,
