id,type,name,displayName,shortName,code,description,search_text
osYJrDsWRd4,Data Element,GF_Gentamycin_reordered,GF_Gentamycin_reordered,GF_Gentamycin_reordered,,,gf_gentamycin_reordered | gf_gentamycin_reordered | gf_gentamycin_reordered |  | 
K8fvuLusVFa,Data Element,GF_Gentamycin_sellingprice,GF_Gentamycin_sellingprice,GF_Gentamycin_sellingprice,,,gf_gentamycin_sellingprice | gf_gentamycin_sellingprice | gf_gentamycin_sellingprice |  | 
UKWEIQjsoA8,Data Element,GF_Gentamycin_used,GF_Gentamycin_used,GF_Gentamycin_used,,,gf_gentamycin_used | gf_gentamycin_used | gf_gentamycin_used |  | 
wTNsYnJagPn,Data Element,GF_Misoprostol_amountreordered,GF_Misoprostol_amountreordered,GF_Misoprostol_amountreordered,,,gf_misoprostol_amountreordered | gf_misoprostol_amountreordered | gf_misoprostol_amountreordered |  | 
QkDYHURcCJZ,Data Element,GF_Misoprostol_available,GF_Misoprostol_available,GF_Misoprostol_available,,,gf_misoprostol_available | gf_misoprostol_available | gf_misoprostol_available |  | 
USDUmMwJanS,Data Element,GF_Misoprostol_remarks,GF_Misoprostol_remarks,GF_Misoprostol_remarks,,,gf_misoprostol_remarks | gf_misoprostol_remarks | gf_misoprostol_remarks |  | 
QF4YLRhnXlu,Data Element,GF_Misoprostol_reordered,GF_Misoprostol_reordered,GF_Misoprostol_reordered,,,gf_misoprostol_reordered | gf_misoprostol_reordered | gf_misoprostol_reordered |  | 
cetTGNPMwcr,Data Element,GF_Misoprostol_sellingprice,GF_Misoprostol_sellingprice,GF_Misoprostol_sellingprice,,,gf_misoprostol_sellingprice | gf_misoprostol_sellingprice | gf_misoprostol_sellingprice |  | 
VMcrN6PkK2k,Data Element,GF_Misoprostol_used,GF_Misoprostol_used,GF_Misoprostol_used,,,gf_misoprostol_used | gf_misoprostol_used | gf_misoprostol_used |  | 
LrED9LZh0bY,Data Element,GF_Oxytocin_amountreordered,GF_Oxytocin_amountreordered,GF_Oxytocin_amountreordered,,,gf_oxytocin_amountreordered | gf_oxytocin_amountreordered | gf_oxytocin_amountreordered |  | 
MROEYJO8KKw,Data Element,GF_Oxytocin_available,GF_Oxytocin_available,GF_Oxytocin_available,,,gf_oxytocin_available | gf_oxytocin_available | gf_oxytocin_available |  | 
nrp8HMOmd9y,Data Element,GF_Oxytocin_remarks,GF_Oxytocin_remarks,GF_Oxytocin_remarks,,,gf_oxytocin_remarks | gf_oxytocin_remarks | gf_oxytocin_remarks |  | 
fecHiGzMeKN,Data Element,GF_Oxytocin_reordered,GF_Oxytocin_reordered,GF_Oxytocin_reordered,,,gf_oxytocin_reordered | gf_oxytocin_reordered | gf_oxytocin_reordered |  | 
hndJoV4ROkn,Data Element,GF_Oxytocin_sellingprice,GF_Oxytocin_sellingprice,GF_Oxytocin_sellingprice,,,gf_oxytocin_sellingprice | gf_oxytocin_sellingprice | gf_oxytocin_sellingprice |  | 
AG0Ip08PSee,Data Element,GF_Oxytocin_used,GF_Oxytocin_used,GF_Oxytocin_used,,,gf_oxytocin_used | gf_oxytocin_used | gf_oxytocin_used |  | 
clUZ7jnKkbD,Data Element,GF_TXA_amountreordered,GF_TXA_amountreordered,GF_TXA_amountreordered,,,gf_txa_amountreordered | gf_txa_amountreordered | gf_txa_amountreordered |  | 
inST2gR2LER,Data Element,GF_TXA_available,GF_TXA_available,GF_TXA_available,,,gf_txa_available | gf_txa_available | gf_txa_available |  | 
vvc2UqdglxI,Data Element,GF_TXA_remarks,GF_TXA_remarks,GF_TXA_remarks,,,gf_txa_remarks | gf_txa_remarks | gf_txa_remarks |  | 
QEOyrv5XuHo,Data Element,GF_TXA_reordered,GF_TXA_reordered,GF_TXA_reordered,,,gf_txa_reordered | gf_txa_reordered | gf_txa_reordered |  | 
BssCkpJmZmO,Data Element,GF_TXA_sellingprice,GF_TXA_sellingprice,GF_TXA_sellingprice,,,gf_txa_sellingprice | gf_txa_sellingprice | gf_txa_sellingprice |  | 
S1DpOTUjIhs,Data Element,GF_TXA_used,GF_TXA_used,GF_TXA_used,,,gf_txa_used | gf_txa_used | gf_txa_used |  | 
qMefwcZINA0,Data Element,Gitlab_diagnosed_presbyopia,Gitlab_diagnosed_presbyopia,Gitlab_diagnosed_presbyopia,,,gitlab_diagnosed_presbyopia | gitlab_diagnosed_presbyopia | gitlab_diagnosed_presbyopia |  | 
Pn3xgaWYDn0,Data Element,Gitlab_First_Time_Readers,Gitlab_First_Time_Readers,Gitlab_First_Time_Readers,,,gitlab_first_time_readers | gitlab_first_time_readers | gitlab_first_time_readers |  | 
LdDzhDxyDWP,Data Element,Gitlab_glasspower_+1.0,Gitlab_glasspower_+1.0,Gitlab_glasspower_+1.0,,,gitlab_glasspower_+1.0 | gitlab_glasspower_+1.0 | gitlab_glasspower_+1.0 |  | 
ExndRIA1vH2,Data Element,Gitlab_glasspower_+1.5,Gitlab_glasspower_+1.5,Gitlab_glasspower_+1.5,,,gitlab_glasspower_+1.5 | gitlab_glasspower_+1.5 | gitlab_glasspower_+1.5 |  | 
N1QYEYfggDj,Data Element,Gitlab_glasspower_+2.0,Gitlab_glasspower_+2.0,Gitlab_glasspower_+2.0,,,gitlab_glasspower_+2.0 | gitlab_glasspower_+2.0 | gitlab_glasspower_+2.0 |  | 
Glbx7nAbIr3,Data Element,Gitlab_glasspower_+2.5,Gitlab_glasspower_+2.5,Gitlab_glasspower_+2.5,,,gitlab_glasspower_+2.5 | gitlab_glasspower_+2.5 | gitlab_glasspower_+2.5 |  | 
Mmw1b9UAMGI,Data Element,Gitlab_glasspower_>3+,Gitlab_glasspower_>3+,Gitlab_glasspower_>3+,,,gitlab_glasspower_>3+ | gitlab_glasspower_>3+ | gitlab_glasspower_>3+ |  | 
o5NLCRBUCYQ,Data Element,Gitlab_glasspower_+3.0,Gitlab_glasspower_+3.0,Gitlab_glasspower_+3.0,,,gitlab_glasspower_+3.0 | gitlab_glasspower_+3.0 | gitlab_glasspower_+3.0 |  | 
WlfPJrw7N45,Data Element,Gitlab_Other_Eye_Conditions,Gitlab_Other_Eye_Conditions,Gitlab_Other_Eye_Conditions,,,gitlab_other_eye_conditions | gitlab_other_eye_conditions | gitlab_other_eye_conditions |  | 
Xu3P4WAZK8P,Data Element,Gitlab_provider_category,Gitlab_provider_category,Gitlab_provider_category,,,gitlab_provider_category | gitlab_provider_category | gitlab_provider_category |  | 
zqXkixGDc3q,Data Element,Gitlab_provider_category_other,Gitlab_provider_category_other,Gitlab_provider_category_other,,,gitlab_provider_category_other | gitlab_provider_category_other | gitlab_provider_category_other |  | 
FR6roIBGdpG,Data Element,Gitlab_provider_location,Gitlab_provider_location,Gitlab_provider_location,,,gitlab_provider_location | gitlab_provider_location | gitlab_provider_location |  | 
GmKPfdx9jlL,Data Element,Gitlab_Require_Near_Vision,Gitlab_Require_Near_Vision,Gitlab_Require_Near_Vision,,,gitlab_require_near_vision | gitlab_require_near_vision | gitlab_require_near_vision |  | 
