name,id,level
Alicent Medical Centre,evhFdNQo8bW,5
Alice Nursing Home,fJ4j8C8VcLS,5
Alidumal dispensary,rRP16WUg7ze,5
Aligula Community Health Unit,JcaAo86LKkm,5
Ali Juja Hope Medical Centre,zCP4Az4ThSi,5
Alika Medical Clinic,KDgQDk9crV4,5
Aliki Medical Centre Banana,OlFg0Rueupw,5
Al Iklas Nursing Home,ki9f5wKcW7R,5
Alikune Community Unit,mj8KYcjvdNH,5
Alikune Dispensary,edjfwbsoTLn,5
Alimaow Community Health Unit,h7SVN9Y6hmW,5
Alimaow Health Centre,il9cndRb7vt,5
Alinjugur Community Unit,phNVvxO9Cf2,5
Alinjugur Health Centre,MMUERdrmeNC,5
Al-Iqlas Medical Centre,dXmb6iHMzjV,5
Aljezeera Hospital,x5u2efTKZ83,5
Alkramatian,cOoe5yqDNpP,5
All Day Medical Clinic,D0d22hbKuxu,5
Alliance Clinic,lBSKqMNnHEz,5
Alliance community medical centre,t0W3iEKsl0C,5
Alliance Medical Center,fJoTJIANnAv,5
Alliance Medical Centre (Mombasa),Y9TyW9SfaLS,5
Alliance Medical Clinic,UqDcXCg6FeW,5
All partners,OEJWxDh6KOU,2
All Saints Musaa,PMwjaBGIelR,5
Alluc Medical Centre,xxmtlMVrq0O,5
Almacy Medical Clinic,ThkruBQ6pew,5
Al Manar Nursing Home,jyAVNg4sdDT,5
Al-Maqdis ENT Clinic,bX2Nmm72gbh,5
