hospital_id,hospital_name,level,path,observations,source_files
eAI2HbFDx2b,ACK Nguni Annex Clinic,5,/HfVjCurKxh2/j8o6iO4Njsi/uE7HKhqPOtf/rPWcODiKrP8/eAI2HbFDx2b,0,
whQyfhyCoEB,ACK Nturumeti Dispensary,5,/HfVjCurKxh2/kqJ83J2D72s/gZM3NbHaugk/fF2CijNSPDI/whQyfhyCoEB,0,
vbTXwTtyO3p,ACK Otaro Community Dispensary,5,/HfVjCurKxh2/nK0A12Q7MvS/Ur2xRBDtazT/C5EivIShRVo/vbTXwTtyO3p,0,
K25bVmp9Uw1,ADADI DISPENSARY,5,/HfVjCurKxh2/Eey8fT4Im3y/sZjPgbWI5ra/fBMKIsnV2ZV/K25bVmp9Uw1,0,
JKK7RZgn2p0,ADOMA MEDICAL CLINIC,5,/HfVjCurKxh2/fVra3Pwta0Q/ka9Uv3Ckcbd/jmeydKjWYw7/JKK7RZgn2p0,0,
gCuHFPIOxPr,ADORA CHILDREN'S CLINIC,5,/HfVjCurKxh2/Hsk1YV8kHkT/g6gTzQ5nfYq/BQ7G5kGe1Cv/gCuHFPIOxPr,0,
xL422upkpQ4,ADRA Health Centre,5,/HfVjCurKxh2/R6f9znhg37c/qyhVIMG2rUw/AEMY7F8XyZT/xL422upkpQ4,0,
yZdSRD27yXx,ADRA Health Centre,5,/HfVjCurKxh2/R6f9znhg37c/qyhVIMG2rUw/AEMY7F8XyZT/yZdSRD27yXx,0,
Jn0FdlezxZm,AFRILIFE HEALTH MEDICAL CLINIC,5,/HfVjCurKxh2/BjC1xL40gHo/Y3NjAhiBaZT/QVwBQhJwtOG/Jn0FdlezxZm,0,
truY1vC423k,AFYA BORA HEALTHCARE,5,/HfVjCurKxh2/ptWVfaCIdVx/zT8Zj5vNYCy/GAsUkSqRL2f/truY1vC423k,0,
npHvq88yTmV,AGC Baby Health Centre,5,/HfVjCurKxh2/ob6SxuRcqU4/OK0hW8DFHq3/PUv9Q5hrTYP/npHvq88yTmV,0,
ssVO2bxvHtv,AGC Ngoron dispensary,5,/HfVjCurKxh2/vvOK1BxTbet/Mk4bMOSMRTB/HTbw8gm6kms/ssVO2bxvHtv,0,
JUMUs3lY9m0,AHF EMALI Clinic,5,/HfVjCurKxh2/BoDytkJQ4Qi/toa2Hl7iVQI/Q1FhAEC0Ode/JUMUs3lY9m0,0,
z5apOSpEyGI,AIC Biribiriet Dispensary,5,/HfVjCurKxh2/mThvosEflAU/f18kGo9yXWo/s38X4K1qhST/z5apOSpEyGI,0,
W5tfdo7JoJL,AIC Dispensary (Isiolo),5,/HfVjCurKxh2/bzOfj0iwfDH/I2LYLqKU6AW/rIdiIpv9fBt/W5tfdo7JoJL,0,
Js2jIKhWf6P,AIC Ebenezer,5,/HfVjCurKxh2/vvOK1BxTbet/k7Rj54u6dMx/Kn2aiEXbw5B/Js2jIKhWf6P,0,
riqlIhHUyL6,AIC Kalamba Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/riqlIhHUyL6,0,
SkQZUBdlpnz,AIC Kalamba Dispensary,5,/HfVjCurKxh2/BoDytkJQ4Qi/AIGIQpolMRn/Amj9UOaw3tP/SkQZUBdlpnz,0,
T2xcSqRm2Vu,AIC Kijabe Hospital Nairobi Medical Centre,5,/HfVjCurKxh2/jkG3zaihdSs/CcTr4bcVGAG/DnVTXbCnup5/T2xcSqRm2Vu,0,
MinJkpDaFzs,AIC Kiu Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/MinJkpDaFzs,0,
AECt2c42O7P,AIC Lalang Amalo Health Centre,5,/HfVjCurKxh2/ob6SxuRcqU4/QwGkDS0DNls/okaRgHkp8W5/AECt2c42O7P,0,
htFOWkUptpZ,AIC Litein Hospital- Kericho Annex Clinic,5,/HfVjCurKxh2/ihZsJ8alvtb/GshNTMZJ5r1/H7KO7IjHYfk/htFOWkUptpZ,0,
AawtXdUefwb,AIC Litein Mission Hospital,5,/HfVjCurKxh2/ihZsJ8alvtb/wt8cPHWfkfu/rkbxH4r1ceD/AawtXdUefwb,0,
V79ezGSMpKN,AIC Litein VCT,5,/HfVjCurKxh2/ihZsJ8alvtb/wt8cPHWfkfu/rkbxH4r1ceD/V79ezGSMpKN,0,
ZL2Sbfnbu6r,AIC MUNUNGA DISPENSARY,5,/HfVjCurKxh2/ahwTMNAJvrL/tyfDsdZ1h3R/bpbzvOdMDqN/ZL2Sbfnbu6r,0,
vsFMznWU668,AIC Mukaa Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/vsFMznWU668,0,
zE0WqGd3i1R,AIC Mukaa Dispensary,5,/HfVjCurKxh2/BoDytkJQ4Qi/XAy1bjurhLU/sZE7f9VLEbp/zE0WqGd3i1R,0,
totDhKGxji1,AIC Parkview Dispensary,5,/HfVjCurKxh2/ob6SxuRcqU4/KTayLusaU5I/eQNgjFoG2ct/totDhKGxji1,0,
BpS9tG9DBVF,AIC Zion Medical clinic,5,/HfVjCurKxh2/jkG3zaihdSs/gh2kzpOFCeF/rD8Z7AgYLaS/BpS9tG9DBVF,0,
Pt3AOtGccoJ,AIDS Health Care Foundation Parklands Clinic,5,/HfVjCurKxh2/jkG3zaihdSs/f1T0Ltob8VQ/QhDd2LAuXAF/Pt3AOtGccoJ,0,
AFzo8Xxdy5h,AIMO DISPENSARY,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/AFzo8Xxdy5h,0,
JtHT6SWclBR,AIPCA Mahinga Dispensary,5,/HfVjCurKxh2/mYZacFNIB3h/RAnL5kBKMIt/sDFNdNK4QJ8/JtHT6SWclBR,0,
c2rYew5ectH,AJ clinic,5,/HfVjCurKxh2/qKzosKQPl6G/lb5LzWiUX8Y/AJKSRemTmee/c2rYew5ectH,0,
o0kufCEQW29,AKIRIAMAS DISPENSARY,5,/HfVjCurKxh2/Tvf1zgVZ0K4/EhchjCHkhJ9/GcsaAX4B8x8/o0kufCEQW29,0,
FJjQJBxosj8,AL AHLI Nursing Home,5,/HfVjCurKxh2/R6f9znhg37c/jrm0uyLXnC1/d7Se8cdZnHg/FJjQJBxosj8,0,
q6lOmUaecOp,AL- BUKHARI MATERNITY AND NURSING HOME,5,/HfVjCurKxh2/R6f9znhg37c/jrm0uyLXnC1/d7Se8cdZnHg/q6lOmUaecOp,0,
Lmw7ijQcfaK,ALFOMBIU MEDICAL CLINIC,5,/HfVjCurKxh2/sPkRcDvhGWA/WHG67QCDRS9/fBGAi2rHJgE/Lmw7ijQcfaK,0,
EWLsoVRrjOT,ALPS Medical Clinic,5,/HfVjCurKxh2/ob6SxuRcqU4/nwh9bXKykiS/uojD9lkbubw/EWLsoVRrjOT,0,
kfZUB81OnXY,AMALEMBA Community Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/kfZUB81OnXY,0,
L6WIZmxznwI,AMEC Laboratories,5,/HfVjCurKxh2/ob6SxuRcqU4/FBJ9Y11esHS/BA2zKL0pmeI/L6WIZmxznwI,0,
bZXY0eNzXWQ,AMWATHI 1B CU,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/bZXY0eNzXWQ,0,
tiPqSd926H4,AP Kanyonyoo Dispensary,5,/HfVjCurKxh2/j8o6iO4Njsi/vbauk0RRq9N/LHmp6sPE2w7/tiPqSd926H4,0,
tmOunpxPDt9,AP Line Dispensary,5,/HfVjCurKxh2/BjC1xL40gHo/Y3NjAhiBaZT/yKF1kdNdLqM/tmOunpxPDt9,0,
oduYHq3wmsr,APDK (Nairobi),5,/HfVjCurKxh2/jkG3zaihdSs/f1T0Ltob8VQ/QhDd2LAuXAF/oduYHq3wmsr,0,
pt2den9BnoP,ARAPAL,5,/HfVjCurKxh2/Eey8fT4Im3y/eZpy65ooW0m/xjbfzSmFPMk/pt2den9BnoP,0,
EqHuyV3yh0M,ASN Upendo Village Dispensary,5,/HfVjCurKxh2/ob6SxuRcqU4/yZJJPoSGhY6/xbHueeSJ4j8/EqHuyV3yh0M,0,
