UID,Name,Short Name,Level,Parent,Groups
AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,Hope Compassionate (ACK),5,Homa Bay Central Ward,ACS Project
AOUfiTMGCKi,Kimachia Dispensary,Kimachia Dispensary,5,Nkomo Ward,In JTP IPSL; Jamii Tekelezi
AagM6cS5ef7,Gatimbi Health Centre,Gatimbi Health Centre,5,Abothuguchi Central Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
AawtXdUefwb,AIC Litein Mission Hospital,AIC Litein Mission Hospital,5,Litein Ward,ACS Project; CHAK MHU; Gates Foundation - RMNCH
AmbExKcweHi,Kiengu PCEA Dispensary,Kiengu PCEA Dispensary,5,Igembe East Ward,CHAK MHU; In JTP IPSL; Jamii Tekelezi
AqeQqDLlXDT,Kaptama (Friends) Health Centre,Kaptama (Friends) HC,5,Kaptama Ward,Gates Foundation - RMNCH
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),Consolata Mission H (Math,5,Kiganjo/Mathari Ward,CHAP Stawisha
AtnPcyOFmJJ,Theere Health Centre,Theera Health Centre,5,Antubetwe Kiongo Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
BAtfedDlU9v,Katilini Health Centre,Katilini Health Centre,5,Athi Ward,CHAP Stawisha
BB8Fv5gv7SE,Itibo Mission Health Centre,Itibo Mission Health Centre,5,Itibo Ward,ACS Project; Gates Foundation - RMNCH
BOcLXF8VIvK,St Mark Medical Clinic - Tala,St Mark Medical Clinic - Tala,5,Tala Ward,CHAP Stawisha
BklVxAeLuVH,Olasiti (AIC) Dispensary,Olasiti (AIC) Dispensary,5,Suswa Ward,Bread for the World Project; Gates Foundation - RMNCH; Gitlab Project
BwF2JaC8lCL,Leshau Pondo Health Centre,Leshau Pondo Health Centr,5,Leshau/Pondo Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CD9oTdiDgcB,Nanam Health Centre,Nanam Health Centre,5,Nanaam Ward,ACS Project; Bread for the World Project
CXAJP0JoCDZ,Baari Health Centre,Baari Health Centre,5,Kiritta Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CbWO3Te8Tut,Kibirichia Sub-District Hospital,Kibirichia Sub-district H,5,Kibirichia Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CfdoxJFZhw9,Muutine Med Clinic,Muutine Med Clinic,5,Njia Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
Ch9QLIX4Lv4,Cana Family Life Clinic,Cana Family Clinic,5,Viwandani Ward,Gates Foundation - RMNCH; Gitlab Project
ClfJQm3Docv,Mirangine Health Centre,Mirangine Health Centre,5,Mirangine Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CmIEKqOW8Lg,Holy family Catholic Hospital (Githunguri),Holy family Catholic Hospital (Githunguri),5,Githunguri Ward,CHAP Stawisha
DRRmd0KhJ7U,Mitunguu Dispensary,Mitunguu Dispensary,5,Mitunguu Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
DSJwlBtTqKz,Ruiri Rural Health Demonstration Centre,Ruiri R H D C,5,Ruiru/Rwawera Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
DbOdUfzRcBN,Njabini Catholic Dispensary,Njabini Catholic Disp,5,Njabani/Kiburu Ward,CHAP Stawisha
DfoyCNu7TiG,Naikara Health Centre,Naikarra Health Centre,5,Naikarra Ward,Bread for the World Project; Gates Foundation - RMNCH; Gitlab Project
Dfweqt8eyqS,Kibera Chemi Chemi Ya Uzima Clinic,Kibera Chemi Chemi ya uzi,5,Makina Ward,Gitlab Project
DoApIYf90N9,Waraba Medica Centre,Waraba Medica Centre,5,Naitiri/Kabuyefwe Ward,Gates Foundation - RMNCH
Dpo1W5ZFOY0,St Lukes ( ACK) Nursing Home(Kaloleni),St Luke's Mission H. (Kal,5,Kaloleni Ward,Bread for the World Project
EFWuy00kRUY,Mutindwa Dispensary,Mutindwa Dispensary,5,Chogoria Ward,In JTP IPSL; Jamii Tekelezi
ELHafKamFIR,Muthara Sub-District Hospital,Muthara Sub-District Hosp,5,Muthara Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
EhJ2SBfPRSW,Kendu Adventist Hospital,Kendu Adventist Hospital,5,Kendu Bay Town Ward,ACS Project; CHAK MHU; Gates Foundation - RMNCH
EhaAg4fr1zh,Soteni Dispensary,Soteni Dispensary,5,Mbakalo Ward,Gates Foundation - RMNCH
EjGDFOdiRTy,Mt Kenya (ACK) Hospital,Mt. Kenya (ACK) Hospital,5,Kerugoya Ward,Gates Foundation - RMNCH; Gitlab Project
F0Uf3SJ6y5k,Kinoru Dispensary,Kinoru Dispensary,5,Municipality Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
FB1EWLohD2s,Kimende Orthodox Mission Health Centre,Kimende Orthodox Mission,5,Kijabe Ward,Gates Foundation - RMNCH; Gitlab Project
FLyT7XDQxf6,Sekerr Dispensary,Sekerr Dispensary,5,Sekerr Ward,Gates Foundation - RMNCH
FS92QpEW9X1,Kaigat (SDA) Health Centre,Kaigat (SDA) Health Centr,5,Ndalat Ward,Gates Foundation - RMNCH
FSrkhOVFdOk,Lereshwa Dispensary,Lereshwa Dispensary,5,Kipipiri Ward,In JTP IPSL; Jamii Tekelezi
FVZSGQeGAWy,Nandarasi Dispensary,Nandarasi Dispensary,5,North Kinangop Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
Fg18SYNETmu,ACK Dispensary (Isiolo),ACK Dispensary (Isiolo),5,Burat Ward,Bread for the World Project
Fzwvhn805YI,Family Care Medical Centre (Meru),Family Care Medical Centre (Meru),5,Municipality Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
G5nMS2OZrdN,Ithimbari Dispensary,Ithimbari Dispensary,5,Abogeta West Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
G8avY4Gzra8,Namboboto Dispensary,Namboboto (ACK) Health Centre,5,Namboboto-nambuku Ward,ACS Project; Gates Foundation - RMNCH
GCv9teCuS8H,Rwika Dispensary,Rwika Dispensary,5,Mbeti South Ward,In JTP IPSL; Jamii Tekelezi
GSBiP2fM5zp,Matata Nursing Hospital,Matata Nursing Hospital,5,West Kamagak Ward,ACS Project; Gates Foundation - RMNCH
GeQ8joSYNcm,Kaanwa Dispensary,Kaanwa Dispensary,5,Mariani Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
GmnUAmcCmsV,Nazareth Hospital (Ruiru),Nazareth Hospital Ruiru,5,Biashara Ward,CHAP Stawisha
GsgjuCbw1LE,Cargo Human Care Clinic,Cargo Human Care Clinic,5,Ndenderu Ward,Gitlab Project
Gtj9Z3IFCRZ,Watamu (SDA) Dispensary,Watamu (SDA) Dispensary,5,Dabaso Ward,Bread for the World Project
GzJU2wkfa30,Lugulu Friends Mission Hospital,Lugulu Mission Hospital,5,Misikhu Ward,Gates Foundation - RMNCH
H3B4JAtTbeZ,Ikuu Dispensary,Ikuu Dispensary,5,Magumoni Ward,In JTP IPSL; Jamii Tekelezi
H6dJ8tUSdoq,Kaongo Health Centre,Kaongo Health Centre,5,Mwangathia Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
HO8XXXER1ZS,Kikuyu (PCEA) Hospital,Kikuyu (PCEA) Hospital,5,Kikuyu Ward,ACS Project; CHAP Stawisha; Gates Foundation - RMNCH; Gitlab Project
HVOJPKtJhsG,Kijabe (AIC) Hospital,Kijabe (AIC) Hospital,5,Kijabe Ward,ACS Project; CHAP Stawisha; Gitlab Project
HgEHx7HWGXS,Gatunduri Dispensary,Gatunduri Dispensary,5,Mbeti North Ward,In JTP IPSL; Jamii Tekelezi
HjL1sFQUDS0,Nyamira Adventist Health Centre,Nyamira Adventist Health Centre,5,Township Ward,Gates Foundation - RMNCH
HxpQNuXuIRd,Waso AIPCA Dispensary,Waso AIPICA Disp. Isiolo,5,Bulla Pesa Ward,Bread for the World Project
I2z6MT7pHrX,Ranen (SDA) Dispensary,Ranen (SDA) Dispensary,5,North Sakwa Ward,ACS Project; Bread for the World Project; Gates Foundation - RMNCH
I9NS2CxsOqM,Lokori Health Centre,Lokori Health Centre,5,Lokori/Kochodin Ward,ACS Project
IB4zzLIkHFT,Chepnyal Dispensary,Chepnyal Dispensary,5,Sook Ward,Bread for the World Project; Gates Foundation - RMNCH
IIw7XjguWks,Kijabe (AIC) Hospital Marira Medical Clinic,Kijabe (AIC) Hospital Marira Medical Clinic,5,Lari/Kirenga Ward,CHAP Stawisha
IKdUHYliWr5,Bamboo Health Centre,Bamboo Health Centre,5,Magumu Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
IVVvBhul17d,Uringu Health Centre,Uringu Health Centre,5,Nkomo Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
IXiFtNKHo5f,Gatithi Dispensary,Gatithi Dispensary,5,Kiine Ward,CHAP Stawisha
IYM3agZtEok,Kitololoni Catholic Dispensary,Kitololoni Catholic Dispensary,5,Makima Ward,CHAP Stawisha
IlWbjdTM42i,Nthagaiya Catholic Dispensary,Nthagaiya Catholic Disp,5,Kagaari South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
Ip6XL8ad5Fy,Our Lady of Mercy (Magumu),Our Lady of Mercy (Magumu,5,Magumu Ward,In JTP IPSL; Jamii Tekelezi
IqxpJrVL9lX,FGC of Kenya Medical Centre,FGC of Kenya Medical Centre,5,Molo Ward,ACS Project; Gates Foundation - RMNCH; Gitlab Project
IzazwT0OMF8,Rukira Dispensary,Rukira Dispensary,5,Kithimu Ward,In JTP IPSL; Jamii Tekelezi
