UID,Name,Short Name,Level,Parent,Groups
R3tvYrwsSZA,Kajuki Health Centre,Kajuki Health Centre,5,Igambang'ombe Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
R41QQ3YpoYu,Kanyuambora Dispensary,Kanyuambora Dispensary,5,Evurore Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
R6tG0IzAhpv,Heni Health Centre,Heni Health Centre,5,Githabai Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
R8oYDOngoLk,Namoruputh (PAG) Health Centre,Namoruputh (PAG) Health Centre,5,Loima Ward,ACS Project; Bread for the World Project; Gates Foundation - RMNCH
REg5UDXlWWL,Kawiria Maternity and Nursing Home,Kawiria Maternity and NH,5,Maua Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
RG4eEDBQ8tm,Nazareth Hospital,Nazareth Hospital,5,Limuru East Ward,CHAP Stawisha
RPHJVk6E7GS,Kiirua Health Centre,Kiirua Health Centre,5,Kiirua/Naari Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
RPNI2yciVPb,Gatimu Health Centre,Gatimu Health Centre,5,Gatimu Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
RUBAdXhzucO,Chamuka Dispensary,Chamuka (CDF) Dispensary,5,Weru Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
RmqDWK6KpK3,Barotion (AIC) Dispensary,Barotion (AIC) Dispensary,5,Londiani Ward,Gates Foundation - RMNCH
RpW4L3sZsvi,Plateau Hospital,Plateau Hospital,5,Kaptagat Ward,Gates Foundation - RMNCH
S4GqmehPtUY,Katyethoka Health Centre,Katyethoka Health Centre,5,Mutha Ward,CHAP Stawisha
S9EM52EwGgF,Timau Catholic Dispensary,Timau Mission,5,Timau Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
SKJI5xtKLmd,Mastoo Dispensary,Mastoo Dispensary,5,Shamata Ward,In JTP IPSL; Jamii Tekelezi
SWDBkgq9Eqe,Matongo Health Centre,Matongo Health Centre,5,Bokeira Ward,Gates Foundation - RMNCH
SYc2EtoHIAJ,Kiarago Health Centre,Kiarago HC,5,Nkuene Ward,In JTP IPSL; Jamii Tekelezi
SdFx8cdCB6P,Kunati Health Centre,Kunati Health Centre,5,Thangatha Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
SfTrvW441Q0,Karangatha Health Centre,Karangatha Health Centre,5,Nyakio Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
SiFad15yKhZ,JM Kariuki County Memorial Hospital (Olkalou),JM Kariuki County Memorial Hospital (Olkalou),5,Rurii Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
SkQZUBdlpnz,AIC Kalamba Dispensary,AIC Kalamba Dispensary,5,Nzaui/Kilili/Kalamba Ward,CHAP Stawisha
SkWeQkXKTzL,Alale (AIC) Health Centre,Alale (AIC) Health Centre,5,Alale Ward,Bread for the World Project; Gates Foundation - RMNCH
Sl09BVeTcZl,Mundoli Health Centre,Mundoli Health Centre,5,Kisa Central Ward,Gates Foundation - RMNCH
T0UkaIvU3F9,Kaliani Dispensary,Kaliani Dispensary,5,Kanziku Ward,CHAP Stawisha
TblKjH1ctLD,Mwangaza Ulio Na Tumaini,Mwangaza ulio na tumaini,5,Korogocho Ward,Gates Foundation - RMNCH; Gitlab Project
TpILSUucrQK,Kiangondu Dispensary,Kiangondu Dispensary,5,Karingani Ward,CHAP Stawisha
UItLmkkqt09,Mweronkaga Health Centre,Mweronkaga Health Centre,5,Akithii Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
ULobKkMnBuO,Chuka Cottage Hospital,Chuka Cottage Hospital,5,Karingani Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
UUbhK0ZeTTz,Kagio Catholic Dispensary (Mary Immucate Catholic Dispensary),Kagio Catholic Disp (MICD,5,Kiine Ward,CHAP Stawisha
UdcrfRV5diV,Kaimbaga Dispensary,Kaimbaga Health Centre,5,Kaimbaga Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
V2RIOHHsYjQ,Sabatia Eye Hospital Mission,Sabatia Eye Hospital Miss,5,Wodanga Ward,ACS Project
VDr1OojYAjX,Nkubu Dispensary,Nkubu Dispensary,5,Nkuene Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
VFz5dSLBYWL,Kunene Health Centre,Kunene Health Centre,5,Nkomo Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
VI8FnbLBPDD,Mbuyu Dispensary,Mbuyu Dispensary,5,Leshau/Pondo Ward,In JTP IPSL; Jamii Tekelezi
VKU1Pm3yNeW,Kiereni Dispensary,Kiereni Dispensary,5,Mugwe Ward,CHAK MHU; In JTP IPSL; Is PMTCT site; Jamii Tekelezi
VbYot2ROb2I,Mboroga Dispensary,Mboroga Health Centre,5,Kibirichia Ward,In JTP IPSL; Is C&T site; Jamii Tekelezi
Vddks98p1ro,Monianku Health Centre,Moniaku Health Centre,5,Borabu/Chitago Ward,ACS Project; Gates Foundation - RMNCH
VoW67kdzIju,Mutito Catholic Dispensary,Mutito Catho Dispensary,5,Mutitu/Kaliku Ward,CHAP Stawisha
VsK11IQUWdd,Acef Ena Health Centre,Acef Ena Health Centre,5,Kagaari South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
W5tfdo7JoJL,AIC Dispensary (Isiolo),AIC Dispensary(Isiolo),5,Wabera Ward,Bread for the World Project
WCjUg04KkUY,Kibunga Sub-District Hospital,Kibunga Sub-District Hosp,5,Marimanti Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
WV0WSrN5Wki,Oyani (SDA) Dispensary,Oyani (SDA) Dispensary,5,West Kanyamkago Ward,Bread for the World Project; Gates Foundation - RMNCH
Wj1gBKsF1lB,Kakuma Mission Hospital,Kakuma Mission Hospital,5,Kakuma Ward,ACS Project
Wl8S53qfNST,Uruku Dispensary,Uruku Dispensary,5,Central Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
XFmkizVkihs,Githongo District Hospital,Githongo District Hospital,5,Abothuguchi West Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
Xac1eOb2dTq,St Paul Dispensary,St Paul Dispensary,5,Ugunja Ward,Gates Foundation - RMNCH
XcONFFYJVWE,Tenwek Mission Hospital,Tenwek Mission Hospital,5,Silibwet Township Ward,ACS Project; Gates Foundation - RMNCH
XgnBT8Pug4r,Chogoria (PCEA) Hospital,Chogoria (PCEA) Hospital,5,Chogoria Ward,ACS Project; CHAP Stawisha; Gates Foundation - RMNCH; Gitlab Project
XpgCObK6h8l,Thanantu Faith Clinic Dispensary,Thanantu Faith Clinic Dis,5,Mukothima Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
XzQQ1Kwv9lP,St Teresa Catholic Dispensary,St Teresa Catholic Dispensary,5,Wamumu Ward,CHAP Stawisha
Y9ozzrFMnYy,St Mary Health Centre (Kiserian),St Mary HC (Kiserian),5,Keekonyokie Ward,CHAP Stawisha
YFYpHHWmaAE,Athi Mission Clinic,Athi Mission Clinic,5,Athi Ward,CHAP Stawisha
YFxIyCBX0oG,Ntemwene Dispensary,Ntemwene Dispensary,5,Nkuene Ward,In JTP IPSL; Jamii Tekelezi
YSPee8KLHhq,Ingotse Dispensary,Ingotse Dispensary,5,Ingoste-matiha Ward,ACS Project; Gates Foundation - RMNCH
YTgby61ISnd,Kiriogo Dispensary,Kiriogo Dispensary,5,Central Ward,In JTP IPSL; Jamii Tekelezi
ZAh3Z32unZx,Gakoromone Dispensary,Gakoromone Dispensary,5,Ntima East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
ZLKeFpFXbAQ,Cmf Aitong Health Centre,Cmf Aitong Health Centre,5,Mara Ward,Bread for the World Project; CHAP Stawisha; Gates Foundation - RMNCH
ZVjBzM0mybV,HWWK Maua Dice,HWWK Maua Dice,5,Maua Ward,In JTP IPSL; Is C&T site; Jamii Tekelezi
Zl8JMj5NOHk,Kamumu Dispensary,Kamumu Dispensary,5,Evurore Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
ZqmBdrwI59g,Olborosat Dispensary,Olbollosat Dispensary,5,Gathanji Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
aKjGXxIWmX3,Lokichar (RCEA) Health Centre,Lokichar (RCEA) HC,5,Lokichar Ward,Gates Foundation - RMNCH
ag64ujDJHs6,Nyanchwa Adventist Hospital,Nyanchwa  Hospital,5,Kisii Central Ward,ACS Project; CHAK MHU; Gates Foundation - RMNCH
am3tU3bLhO8,Karama Health Centre,Karama Health Centre,5,Karama Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
amP1kWytNm2,Consolata Kyeni Hospital,Consolata Hospital Kyeni,5,Kyeni North Ward,CHAP Stawisha
b1Jlgi9MyPT,St Joseph Catholic Dispensary (Igembe),St Joseph Catholic Disp(I,5,Kangeta Ward,In JTP IPSL; Jamii Tekelezi
bArGQMJx5Vs,Turasha Dispensary,Turasha Dispensary,5,Githioro Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
cLBvS1WGEQF,Old Mawingu Health Centre,Old Mawingu Health Centre,5,Githioro Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
cPU7gAlPGs7,Sagam Community Hospital,Sagam Community Hospital,5,East Gem Ward,Gates Foundation - RMNCH
cSJA4hwmlLm,Mwihila Mission Hospital,Mwihila Mission Hospital,5,Kisa North Ward,ACS Project; Gates Foundation - RMNCH
cV6VsQJFA5A,Mukui Health Centre,Mukui Health Center,5,Ganga Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
cacMe5d5411,Ngito Dispensary,Ngito Dispensary,5,Ilmotiook Ward,Bread for the World Project
cmay4WXRmhA,Gatunga Health Centre,Gatunga Health Centre,5,Marimanti Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
cstMyxSGR2e,Living Room International,Living Room International,5,Kapsoya Ward,Gates Foundation - RMNCH
d0imj0dhHw1,Timau Sub-County Hospital,Timau SCH,5,Timau Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
d23ZMyDAOEE,St Mathews and Sarah Dispensary,St Mathews and Sarah Disp,5,Mirangine Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
dLQjsqOgttT,Mulango (AIC) Health Centre,Mulango (AIC) Health Centre,5,Mulango Ward,ACS Project; Bread for the World Project; CHAK MHU; CHAP Stawisha; Gates Foundation - RMNCH
dLWshrUrHts,Tinganga Catholic Dispensary,Tinganga Catholic Disp,5,Ting'ang'a Ward,CHAP Stawisha
dU7dDBWWWDi,Shamata Health Centre,Shamata Health Centre,5,Shamata Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
dtbW7eHfCpd,Chugu Dispensary,Chugu D,5,Nyaki West Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
dzPtnXVHu7C,Kiritiri Health Centre,Kiritiri Health Centre,5,Mavuria Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
dzY2ptkmDAC,Bishop Kioko Catholic Hospital,Bishop Kioko Catholic Hospital,5,Machakos Central Ward,CHAP Stawisha
eDZupn6owH8,Tunyai Health centre,Tunyai Health Centre,5,Chiakagira Ward,CHAP Stawisha
eKeevmjKeuN,Gaciongo Dispensary,Gaciongo Disp (Tharaka),5,Mukothima Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
eM3PnqBIqcR,Kigumo Dispensary,Kigumo Model Health Centre,5,Kyeni South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
eQ411WldmOy,Tumutumu (PCEA) Hospital,Tumutumu (PCEA) Hospital,5,Kirimukuyu Ward,ACS Project; CHAP Stawisha; Gates Foundation - RMNCH; Gitlab Project
ebXoTw3om83,PEFA Mercy Medical Centre,Pefa Mercy Medical Center,5,Ndumberi Ward,ACS Project; Gates Foundation - RMNCH; Gitlab Project
evV553fu7J8,Matuu Mission Health Centre,Matuu Mission Hospital,5,Matuu Ward,CHAP Stawisha
f1mpqnM6p8W,Laare Health Centre,Laare Health Centre,5,Ntunene Ward,CHAP Stawisha
f8GXUUOSkR6,Runyenjes District Hospital,Runyenjes DH,5,Central Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
fKR3N7cmgQl,Kanyakine District Hospital,Kanyakine District Hospit,5,Abogeta East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
fMFsmycdb6z,Kaboson Health Centre,Kaboson Health Centre,5,Chebunyo Ward,Gates Foundation - RMNCH
fMMxisqLyA8,Cottolengo Mission Hospital,Cottolengo Mission Hospital,5,Mwangathia Ward,Is C&T site
