County,Owner type,Owner,Name,Service Type,Year,Sum of Value
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Benjavan Medical Clinic,OPD,2026,0
