orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,November 2025 OPD Attendance <5yrs Female,November 2025 OPD Attendance <5yrs Male,November 2025 OPD attendance >5yrs Female,November 2025 OPD attendance >5yrs Male
Kenya,Nyeri County,Kieni West Sub County,Mweiga Ward,Honi (PCEA) Dispensary,aNL57RUMfIt,Honi (PCEA) Dispensary,19827,,,,,1
Kenya,Homa Bay County,Homa Bay Town Sub County,Homa Bay Central Ward,Hope Compassionate (ACK) Dispensary,AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,16983,,4,7,9,3
Kenya,Bungoma County,Kimilili Sub County,Kibingei Ward,ICFM Dreamland Mission Hospital,Px9lcrdOOO6,ICFM Dreamland Mission Hospital,15864,,114,156,689,912
Kenya,Nairobi County,Embakasi South Sub County,Imara Daima Ward,Imara Health Centre,pM6L7uFojJG,Imara Health Centre,17685,,11,6,64,60
Kenya,Nakuru County,Nakuru North Sub County,Kiamaina Ward,Impact Health Care,h8gciTrB04j,Impact Health Care,20839,,77,68,353,208
Kenya,Nakuru County,Subukia Sub County,Kabazi Ward,Impact Health Care Annex,oAXtRPjvnSF,Impact Health Care Annex,25111,,20,10,199,141
Kenya,Kakamega County,Navakholo Sub County,Ingoste-matiha Ward,Ingotse Dispensary,YSPee8KLHhq,Ingotse Dispensary,15902,,62,83,365,298
Kenya,Uasin Gishu County,Turbo Sub County,Kiplombe Ward,Intergrated Vision Centre Mlimani Mission Hospital,Jouju0Ll8s7,Intergrated Vision Centre Mlimani Mission Hospital,28890,,10,13,49,32
Kenya,Nyamira County,Nyamira North Sub County,Itibo Ward,Itibo Mission Health Centre,BB8Fv5gv7SE,Itibo Mission Health Centre,13628,,11,10,171,111
Kenya,Kisii County,Bonchari Sub County,Bogiakumu Ward,Itierio Maternity and Nursing Home,gI0eLFGcgCg,Itierio Maternity and Nursing Home,13629,,114,150,861,518
Kenya,Kirinyaga County,Kirinyaga East Sub County,Njukiine Ward,Jesmond (ACK) Dispensary (Mburi),anhlbWFPk8F,Jesmond (ACK) Dispensary (Mburi),10375,,10,13,66,46
Kenya,Nairobi County,Roysambu Sub County,Roysambu Ward,Jesse Kay Children's Hospital,uKQ00J1SYx7,Jesse Kay Children's Hospital,24073,,55,74,281,173
Kenya,Vihiga County,Hamisi Sub County,Shiru Ward,Jumuia Friends Hospital Kaimosi,y0kyyERURWh,Jumuia Friends Hospital Kaimosi,15913,,143,145,723,712
Kenya,Nairobi County,Mathare Sub County,Kiamaiko Ward,Jumuia Hospital (Huruma),n33t3QkAiUY,Jumuia Hospital (Huruma),12972,,340,247,2146,1747
Kenya,Bomet County,Chepalungu Sub County,Chebunyo Ward,Kaboson Health Centre,fMFsmycdb6z,Kaboson Health Centre,14628,,263,152,38,54
Kenya,Homa Bay County,Rangwe Sub County,Kochia Ward,Kager Dispensary,CUCTqzLEY0L,Kager Dispensary,13643,,25,15,80,32
Kenya,Nandi County,Mosop Sub County,Ndalat Ward,Kaigat (SDA) Health Centre,FS92QpEW9X1,Kaigat (SDA) Health Centre,14642,,14,9,116,84
Kenya,Marsabit County,North Horr Sub County,Maikona Ward,Kalacha (AIC) Dispensary,LL1CdE4hkBQ,Kalacha (AIC) Dispensary,12141,,,,,
Kenya,Makueni County,Makueni Sub County,Nzaui/Kilili/Kalamba Ward,Kalamba (AIC) Dispensary,SkQZUBdlpnz,Kalamba (AIC) Dispensary,17431,,17,16,177,70
Kenya,Turkana County,Turkana Central Sub County,Kalokol Ward,Kalokol (Aic) Health Centre,N636nMR9Hsh,Kalokol (Aic) Health Centre,14663,,40,43,72,63
Kenya,Migori County,Rongo Sub County,East Kamagambo Ward,Kamagambo SDA Dispensary,g5KpbX9mwwJ,Kamagambo SDA Dispensary,13649,,1,2,9,25
Kenya,Homa Bay County,Suba North Sub County,Rusinga Island Ward,Kamasengere Buda Baptist  Health Centre,PUZQj1Cypzb,Kamasengere Buda Baptist  Health Centre,13650,,,,,
Kenya,Kiambu County,Githunguri Sub County,Ngewa Ward,Kambui (PCEA) Dispensary,sVtx58e1tHa,Kambui (PCEA) Dispensary,10446,,5,2,29,15
Kenya,Kiambu County,Lari Sub County,Kamburu Ward,Kamburu (PCEA) Dispensary,PZJ5zoO52xj,Kamburu (PCEA) Dispensary,10448,,,,,
Kenya,Bungoma County,Tongaren Sub County,Milima Ward,Kamukuywa (ACK) Dispensary,nDHVt4OzVE7,Kamukuywa (ACK) Dispensary,15918,,,,,
Kenya,Muranga County,Kigumo Sub County,Kinyona Ward,Kamung'ang'a  Dispensary,UssljyWdXrX,Kamung'ang'a  Dispensary,10454,,21,12,201,89
Kenya,Elgeyo Marakwet County,Marakwet West Sub County,Kapsowar Ward,Kapsowar (Aic) Hospital,syjqhftfG5l,Kapsowar (Aic) Hospital,14767,,202,204,1903,872
Kenya,Bungoma County,Mt Elgon Sub County,Kaptama Ward,Kaptama Health Centre,pIRUamww2Tr,Kaptama Health Centre,22508,,,,,
Kenya,Narok County,Transmara East Sub County,Ololmasani Ward,Kapweria Dispensary,mIx0k3vFrCb,Kapweria Dispensary,14797,,79,53,271,206
Kenya,Kirinyaga County,Kirinyaga Central Sub County,Inoi Ward,Karaini (ACK) Dispensary,EnlvyzCk9e2,Karaini (ACK) Dispensary,10478,,,,,
Kenya,Kitui County,Mwingi North Sub County,Kyuso Ward,Katakani Dispensary,hiLD4yCxIAC,Katakani Dispensary,12213,,2,1,18,10
Kenya,Kericho County,Sigowet/Soin Sub County,Sigowet Ward,Kebeneti (SDA) Health Centre,VIF8LPwPrcP,Kebeneti (SDA) Health Centre,14822,,36,29,49,44
Kenya,Nyamira County,Manga Sub County,Kamera Ward,Kemera (SDA) Dispensary,atumVmDAZzs,Kemera (SDA) Dispensary,13666,,,1,1,
Kenya,Homa Bay County,Rachuonyo North  Sub County,Kendu Bay Town Ward,Kendu Adventist Hospital,EhJ2SBfPRSW,Kendu Adventist Hospital,13667,,16,17,259,157
Kenya,Meru County,Imenti North Sub County,Nyaki East Ward,Kenya Community Health Clinic Mck Ciothirai,RpTVnEOD2g6,Kenya Community Health Clinic Mck Ciothirai,22870,,2,5,28,14
Kenya,Narok County,Transmara West Sub County,Keyian Ward,Keyian SDA Dispensary,avJUs3Zqpi1,Keyian SDA Dispensary,17327,,20,17,70,60
Kenya,Bungoma County,Bumula Sub County,Khasoko Ward,Khasoko Health Centre,OwaQqvBExjF,Khasoko Health Centre,15935,,3,5,28,20
Kenya,Meru County,Imenti North Sub County,Ntima West Ward,Kiamiriru MCK Dispensary,qofxRUgcFyD,Kiamiriru MCK Dispensary,17468,,3,3,12,13
Kenya,Kirinyaga County,Kirinyaga North/Mwea West Sub County,Wamumu Ward,Kiandegwa (Methodist Church of Kenya) Dispensary,l5C6eipODMr,Kiandegwa (Methodist Church of Kenya) Dispensary,10551,,,,,
Kenya,Nyeri County,Mathira East Sub County,Iriaini Ward,Kiaruhiu (PCEA) Health Centre,s8UyLaY8LxW,Kiaruhiu (PCEA) Health Centre,10567,,,,,
Kenya,Nairobi County,Kibra Sub County,Makina Ward,Kibera Chemi Chemi Ya Uzima Clinic,Dfweqt8eyqS,Kibera Chemi Chemi Ya Uzima Clinic,12894,,159,145,178,142
Kenya,Kajiado County,Kajiado East Sub County,Kenyawa-poka Ward,Kibini Hill (PCEA) Dispensary,SABoD4mV2BY,Kibini Hill (PCEA) Dispensary,14852,,,,,
Kenya,Makueni County,Kibwezi East Sub County,Thange Ward,Kibwezi (PCEA) Dispensary,Grn5AkTRy74,Kibwezi (PCEA) Dispensary,17921,,,,,
Kenya,Meru County,Igembe Central Sub County,Igembe East Ward,Kiengu PCEA Dispensary,AmbExKcweHi,Kiengu PCEA Dispensary,12293,,66,99,120,82
Kenya,Muranga County,Gatanga Sub County,Kihumbu-ini Ward,Kihumbuini (PCEA) Dispensary,hbBSP9aXVeT,Kihumbuini (PCEA) Dispensary,10597,,,,,
Kenya,Kiambu County,Lari Sub County,Kijabe Ward,Kijabe (AIC) Hospital,HVOJPKtJhsG,Kijabe (AIC) Hospital,10602,,,,,
Kenya,Kiambu County,Lari Sub County,Lari/Kirenga Ward,Kijabe (AIC) Hospital Marira Medical Clinic,IIw7XjguWks,Kijabe (AIC) Hospital Marira Medical Clinic,10693,,45,55,579,266
Kenya,Kiambu County,Kikuyu Sub County,Kikuyu Ward,Kikuyu (PCEA) Hospital,HO8XXXER1ZS,Kikuyu (PCEA) Hospital,10603,,63,70,1181,874
Kenya,Narok County,Transmara West Sub County,Shankoe Ward,Kilgoris (Cog) Dispensary,sAnQxuicHZK,Kilgoris (Cog) Dispensary,14864,,,,,
Kenya,Vihiga County,Luanda Sub County,Emabungo Ward,Kima Mission Hospital,OwA3FdxjmkQ,Kima Mission Hospital,15946,,56,63,589,425
Kenya,Kiambu County,Lari Sub County,Kijabe Ward,Kimende Orthodox Mission Health Centre,FB1EWLohD2s,Kimende Orthodox Mission Health Centre,10610,,90,53,326,129
Kenya,Nandi County,Mosop Sub County,Chepterwai Ward,Kimng'oror (ACK) Health Centre,P9UwwU6jxr7,Kimng'oror (ACK) Health Centre,16720,,94,76,224,219
Kenya,Kiambu County,Gatundu South Sub County,Ngenda Ward,Kimunyu (PCEA) Dispensary,hwtoYW2hXUh,Kimunyu (PCEA) Dispensary,10612,,,,,
Kenya,Bungoma County,Cheptais Sub County,Kapkateny Ward,Kipsigon (FGC) Health Centre,bWgvLTF0Jry,Kipsigon (FGC) Health Centre,15952,,,,,
Kenya,Kericho County,Sigowet/Soin Sub County,Soin Ward,Kipsitet Baptist Dispensary,qSDEcUCgLky,Kipsitet Baptist Dispensary,19591,,,,,
Kenya,Meru County,Imenti Central Sub County,Abothuguchi Central Ward,Kirigara (MCK) Dispensary,PnYRbWmiSJA,Kirigara (MCK) Dispensary,16840,,,,,
Kenya,Kajiado County,Kajiado West Sub County,Keekonyokie Ward,Kiserian Health Centre,qrLS4S4j5iv,Kiserian Health Centre,30627,,62,81,297,107
Kenya,Makueni County,Mbooni Sub County,Kithungo/Kitundu Ward,Kitundu (SDA) Dispensary,ua1ocZuxevt,Kitundu (SDA) Dispensary,12368,,12,8,88,45
Kenya,Makueni County,Kilome Sub County,Kima Kiu/Kalanzoni Ward,Kiu (AIC) Dispensary,lBcxySsDQKa,Kiu (AIC) Dispensary,12374,,20,13,180,201
Kenya,Busia County,Teso North Sub County,Ang'urai East Ward,Kolanya Salvation Army Health Centre,rsNtXqATBzF,Kolanya Salvation Army Health Centre,15953,,39,25,92,78
Kenya,Nandi County,Aldai Sub County,Kemeloi-maraba Ward,Koloch Dispensary,h8nvmdi2GSQ,Koloch Dispensary,14980,,,,,
Kenya,Migori County,Kuria East Sub County,Nyabasi West Ward,Komotobo Mission Health Centre,x9Jr09a3JDh,Komotobo Mission Health Centre,13717,,79,62,70,33
Kenya,Migori County,Suna West Sub County,Wasimbete Ward,Kopanga Dispensary (CHAK),MQcFGwW1QsE,Kopanga Dispensary (CHAK),13718,,97,78,105,93
Kenya,Kitui County,Mwingi West Sub County,Kyome/Thaana Ward,Kyome (AIC) Dispensary,G5sWeGrcYSV,Kyome (AIC) Dispensary,12417,,3,4,30,22
Kenya,Makueni County,Makueni Sub County,Mbitini Ward,Kyumbe Dispensary (Makueni),DgVxLyiCQ0V,Kyumbe Dispensary (Makueni),12419,,2,,35,21
Kenya,Uasin Gishu County,Kapseret Sub County,Langas Ward,Langas RCEA Health Center,pyVe7DfRPnj,Langas RCEA Health Center,15011,,154,161,750,478
Kenya,Kiambu County,Kabete Sub County,Muguga Ward,Lankia Nursing Home,al3IFUuaf1r,Lankia Nursing Home,10654,,,,,
Kenya,Kakamega County,Shinyalu Sub County,Isukha Central Ward,Lirhanda Mission Health Centre,qmnDVekwUFH,Lirhanda Mission Health Centre,20729,,,,,
Kenya,Kericho County,Ainamoi Sub County,Kipchebor Ward,Live With Hope Dispensary,cydsug5htZ9,Live With Hope Dispensary,17589,,10,10,34,26
Kenya,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward,Living Room International,cstMyxSGR2e,Living Room International,24724,,,,,
Kenya,Marsabit County,Laisamis Sub County,Loglogo Ward,Logologo AIC Dispensary,Mrbd6SVKio5,Logologo AIC Dispensary,16213,,26,16,18,14
Kenya,Turkana County,Turkana South Sub County,Lokichar Ward,Lokichar (RCEA) Health Centre,aKjGXxIWmX3,Lokichar (RCEA) Health Centre,15057,,109,106,388,347
Kenya,Turkana County,Lokichoggio Sub County,Lokichoggio Ward,Lokichogio (Aic) Health Centre,ssY2d9sMYGR,Lokichogio (Aic) Health Centre,15059,,186,156,355,244
Kenya,Turkana County,Turkana East Sub County,Lokori/Kochodin Ward,Lokori (AIC) Health Centre,riVaDMbSHNv,Lokori (AIC) Health Centre,15064,,60,37,136,94
Kenya,Turkana County,Lokiriama Sub County,Loima Ward,Lokwatubwa (PAG) Dispensary,Ny1Neo7owcC,Lokwatubwa (PAG) Dispensary,16697,,23,28,36,21
Kenya,Turkana County,Turkana West Sub County,Lopur Ward,Lopur (AIC) Dispensary (Turkana West),qDGxffdJQuj,Lopur (AIC) Dispensary (Turkana West),15082,,112,157,340,118
