Facility Name,Category,Region,County,Beds,Status
Olendeem Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Oldonyorok Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Olderkesi Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Olasiti Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Ogada Health Centre,Health Centre,South Rift Nyanza,Migori,0,
Oasis Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Coast,0,
Oasis Medical Center,Clinic / Medical Centre,Nairobi Central SE Coast,Kilifi,0,
Nzoia ACK Dispensary,Dispensary,Western North Rift,Kakamega,0,
Nyasore Dispensary,Dispensary,South Rift Nyanza,Kisii,0,
Nyandarua Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Nyandarua,0,
Nyanchwa School of Nursing,Clinic / Medical Centre,South Rift Nyanza,Kisii,0,
Nyanchwa Hospital,Hospital,South Rift Nyanza,Kisii,0,
NYANCHWA ADVENTIST MISSION HOSPITAL,Hospital,South Rift Nyanza,Kisii,0,
Nyamira Adventist Health Centre,Health Centre,South Rift Nyanza,Nyamira,0,
Nyamakoroto Dispensary,Dispensary,South Rift Nyanza,Nyamira,0,
Nyagowa Elck Dispensary,Dispensary,South Rift Nyanza,Homa Bay,0,
NYAGICHENCHE S.D.A DISPENSARY,Dispensary,South Rift Nyanza,Kisii,0,
Nyagichenche (SDA) Dispensary,Dispensary,,,0,
Nyagesenda Dispensary,Dispensary,South Rift Nyanza,Kisii,0,
Nyagani Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Nyachogochogo Dispensary,Dispensary,South Rift Nyanza,Mombasa,0,
Nyabikomu Dispensary,Dispensary,South Rift Nyanza,Nyamira,0,
NYABIKAYE SDA MEDICAL CENTRE,Clinic / Medical Centre,South Rift Nyanza,Migori,0,
Nyabikaye SDA Health Centre,Health Centre,South Rift Nyanza,Migori,0,
Nuru Lutheran Media Ministry,Dispensary,Nairobi Central SE Coast,Nairobi,0,
Nolasit Dispensary,Dispensary,Nairobi Central SE Coast,Kajiado,0,
Nkararo Health Centre,Health Centre,Nairobi Central SE Coast,Narok,0,
Nkacii Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Njoro (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
Ngwelo Dispensary,Dispensary,Western North Rift,Bungoma,0,
NGOTSE MISSION HEALTH CENTRE,Health Centre,Western North Rift,Kakamega,0,
NGOSWANI COMMUNITY HEALTH CENTER,Health Centre,Nairobi Central SE Coast,Narok,0,
Ngito Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Ngeru Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Ngelani AIC Dispensary,Dispensary,Eastern Northeastern,Machakos,0,
Ngecha Orthodox Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Ngarariga Health Centre,Health Centre,Nairobi Central SE Coast,Kiambu,0,
NG'IYA HEALTH CENTRE,Health Centre,Western North Rift,Siaya,0,
Neema Hospital (Ruiru),Hospital,Nairobi Central SE Coast,Kiambu,0,
Neema Hospital,Hospital,Nairobi Central SE Coast,Nairobi,0,
Nduriri (AIC) Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Ndumari Dispensary,Dispensary,Eastern Northeastern,Embu,0,
Ndumari Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Nderema Dispensary,Dispensary,South Rift Nyanza,Nyamira,0,
Ndarugu (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
Nasolot Dispensary,Dispensary,Western North Rift,West Pokot,0,
Namarei Dispensary (Marsabit South),Dispensary,Eastern Northeastern,Marsabit,0,
Nakuru West (PCEA) Health Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
Naivasha (AIC) Medical Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
Nairobi Adventist Hospital,Hospital,Nairobi Central SE Coast,Nairobi,0,
NAIKARRA HEALTH CENTRE,Health Centre,Nairobi Central SE Coast,Narok,0,
Naikarra Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Mwina Methodist Dispensary,Dispensary,Nairobi Central SE Coast,Tana River,0,
Mwihila Mission Hospital,Hospital,Western North Rift,Kakamega,0,
Mwangaza Ulio na Tumaini Clinic Korogocho,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Mutukanio ACK Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
Mutira (ACK) Dispensary,Dispensary,Nairobi Central SE Coast,Kirinyaga,0,
Mutindwa Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Muthithi Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Muthithi (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Musoa SDA Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
Musango GPC Clinic,Clinic / Medical Centre,Western North Rift,Kakamega,0,
Musango Dispensary,Dispensary,Western North Rift,Kakamega,0,
Musanda Dispensary,Dispensary,Western North Rift,Kakamega,0,
Murengeti PCEA Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Murambani Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Munyange (AIPCA) Dispensary,Dispensary,Nairobi Central SE Coast,Nyeri,0,
Mununga Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Mundoli Health Centre,Health Centre,Western North Rift,Kakamega,0,
Mumo Dispensary,Dispensary,,,0,
Mulwanda Dispensary,Dispensary,Western North Rift,Kakamega,0,
Mukuuni Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Mukurwe (PCEA) Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
Mukhombe Dispensary,Dispensary,Western North Rift,Kakamega,0,
Mukeu (AIC) Dispensary,Dispensary,Nairobi Central SE Coast,Nyandarua,0,
Muhuru Bay St. Hellen Clinic,Clinic / Medical Centre,South Rift Nyanza,Migori,0,
Mugutha SDA Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Mugona Methodist Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Mt Kenya (ACK) Hospital,Hospital,Nairobi Central SE Coast,Kirinyaga,0,
