Facility_ID,Facility_Name
VV9qw7vQAB5,Aga Khan Medical Clinic (Kitale)
dFLORH3AnX3,Aga Khan Roysambu Medical and Dialysis Centre
YKS2COepM3L,Aga Khan University Hosp Mother & Child Clinic
Vpj6plA6iQa,Aga Khan University Hospital (Buruburu)
oT4EbqEJIS9,Aga Khan University Hospital (Capital Centre)
t1HmYaEq0f9,Aga Khan University Hospital (Embu)
BUlu6BU69MY,Aga Khan University Hospital Clinic (Akai Plaza)
LYPPXdMyF76,Aga Khan University Hospital Clinic (Naivasha)
VM94DU3XJJJ,Aga Khan University Hospital Kiambu Clinic
r1LSMmsy0pW,Aga Khan University Hospital(Machakos)
CFp0FbzUd9l,Aga Khan University Hospital(Njiru)
G32BaOjAwL4,Aga Khan University Medical Centre ( Kikuyu)
OsLNNNF3nXK,Aga khan Hospital Kilifi
JK63uCrwoep,Aga khan Hospital-Bamburi
sUnDAhfIirb,Aga khan Hospital-Nyali
cBacbKf72Jo,Agah Khan Clinic (Ngong)
FF239lMkAXV,Agakhan Clinic (Kisii)
RD7OEFsBOdd,Agakhan Health services - Kuze Medical Center
hGpgRnJoI2M,Agakhan Hosp
gvDSAEtIvQg,Agakhan Medical Centre
yhxPoUsPeY9,Agakhan Medical Centre (Busia)
QmIROAIrJ78,Agakhan Medical Centre Nakuru
dgf81cuygoa,Agakhan Medical Clinic
oqvgqMBwdvU,Agakhan University Clinic (Embakasi)
neIPPsFEhUg,Agakhan University Hospital Valley Arcade Clinic
o7WkDSeSvVU,Agano Medical Clinic
zwyNABkDNiI,Agano Medical Clinic
RMmKsmkaDkM,Agape Medical Clinic (Otimong)
qIuHbZDmYPX,Agawo Dispensary
A1BCmizFgwx,Ageng'a Dispensary (Samia)
orKDpItM56v,Agenga Dispensary
OLpW0qgl5iU,Ager community dispensary
YdlcyO7IuZC,Agha Khan Health Services (Mtwapa)
QDsQh3VprMV,Agha Khan University Hospital Malindi
OPpCGyY0Aij,Agma Clinic
sXJuOuUbRjM,Agriflora (K) LTD Clinic
F0qhs0a31FJ,Agro Chemical Dispensary (Muhoroni)
mXzuqduA6ed,Aguthi Dispensary
M7R0OJOMSOA,Ahadi Health and Maternity Services
ZGbQk48uSlp,Ahadi Maternity Medical Centre
lftjRJLPHQc,Ahadi Medical Clinic
vTUGrWlhqr2,Ahava Medical Centre
iPKeTl8lSAZ,Ahero County Hospital
TYKsuf1A6HB,Ahero Medical Centre
Q5JWb8bSKgK,Ahero Medical Clinic
hXpktmsRiTZ,Ahf Soko Clinic
Hz0YZaxawTo,Ahmadiya Hospital
XCngdtEEkGl,Aimo Dispensary
ggBr0DsxxqP,Aimon Medical Clinic
QMzWtI2lOvC,Aina Dispensary
yvHLTdpzuNc,Ainabkoi (RCEA) Health Centre
VbWm2SKV45x,Ainamoi Dispensary
Q4h7yLoLe0G,Ainamoi Health Centre
zM1oM2xIaZu,Ainamoi Market Dispensary
YrTDPTawT5Y,Ainamoi Universal Care Clinic
cjRk88NSyY9,Air Port Medical Centre
E8hN4uYkWR8,Airborne No Twist Huduma Bora Clinic
ozy6iBXQruo,Airborne No Twist Huduma Bora Clinic (Delete)
oEWhqoUHkvt,Airport Health Centre (Kisumu)
h8lfMvZtvi5,Airport View Clinic
B761KBCismf,Airport View Medical Clinic
pPKjMknrPy3,Airtech Medical Clinic
Pad4GTI7VcX,Airtech Medical Clinic O/Rongai
C0eGXaSEHiP,Aiyebo Dispensary
KuftRocWEh1,Ajam Mission Health Centre
fwUKH0ErhkU,Ajawa Health Centre
PBqYe1aI7YB,Akachiu Health Centre
NV1lsQQAz4x,Akado Dispensary
BlftyeghYRI,Akaiga Dispensary
ngzYEraCr33,Akala Health Centre
cy4MV1p46rR,Akatuman Dispensary
jLCDKWdsW28,Akemo Medical Clinic
WLP80sZXutW,Akemo Nursing Home
IVsuBIrIGgI,Akicha Medical Services
les3bNZfpjr,Akichelesit Dispensary
TUd10knDDSH,Akidiva Clinic
uDo1EMAOZAG,Akidiva Kehancha Outpatient Clinic
GLeVzenn2ab,Akiriamasi Dispensary
sukHAdsaboL,Akobwait Community Dispensary
asspSN9u7oh,Akolong Dispensary
zEoEobhgPXc,Akorian Dispensary
q3IEhLuhsMQ,Akshar Nursing Home
hqBbYvWOael,Akukuranut Drop Off Point
npMa6l8gFOy,Akwichatis Health Centre
cgtpPBvYqYq,Al Amin Nursing Home
Zq1MHFI8jJ2,Al Azhar Medical Clinic
lriDX8NjRjR,Al Bilal Nursing Home
aiD3lzUJBTy,Al Farooq Hospital
d2TqMWtDu8b,Al Fridaus Medical Clinic
bgRyIte6lwP,Al Habib Nursing Home
DTOJOLW8u0M,Al Ibraheem Therapeutic Limited
ki9f5wKcW7R,Al Iklas Nursing Home
jyAVNg4sdDT,Al Manar Nursing Home
bC611CwnCQs,Al Rashad Nursing Home
fH85KmwtcIR,Al Riyadh Medical Clinic
tILK8WyeYwd,Al- Munawarah Medical Center
